    T/O      Fuel     Fuel     Payld    Block    Block    Block    Block    Block    Block    Climb    Climb    Climb    Climb    Climb    Climb    ICA      Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Descent  Descent  Descent  Descent  Descent  Descent  Reserve  TOFL     
    Mass     Load     Vol.     Mass     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Alt.     Mach     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Fuel     Dist.    
    kg.      kg.      %Cap.    kg.      nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      ft.         nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      kg.      ft.      s                                       
  435203.  126203.     51.4   10000.    5000.     645.  116702.   1970.3     0.38    197.6     144.      21.    8701.    285.8     0.00      3.8   38000.    0.845    4727.     585.  103512.   1621.7     0.00    162.8     129.      21.     961.      3.6     0.26     19.7   12004.    5345.         
  462081.  153081.     62.4   10000.    6000.     769.  142784.   2434.2     0.38    230.1     164.      23.    9758.    319.3     0.00      4.3   38000.    0.845    5706.     706.  128529.   2052.1     0.00    194.7     130.      21.     969.      3.7     0.27     19.8   12800.    6037.         
  490719.  181719.     74.0   10000.    7000.     893.  170572.   2941.8     0.37    262.6     166.      24.   10242.    342.2     0.00      4.5   36000.    0.845    6708.     830.  155849.   2536.8     0.00    227.6     126.      21.     954.      3.6     0.26     19.2   13650.    6836.         
  520969.  211969.     86.3   10000.    8000.    1017.  199925.   3497.5     0.37    294.1     183.      26.   11296.    378.1     0.00      5.0   36000.    0.845    7693.     952.  184154.   3056.6     0.00    258.9     124.      20.     948.      3.6     0.25     18.9   14547.    7753.         
  553368.  244368.     99.5   10000.    9000.    1140.  231363.   4128.0     0.37    323.5     189.      27.   12093.    409.9     0.00      5.4   34000.    0.845    8689.    1074.  214781.   3655.2     0.00    287.9     122.      20.     961.      3.7     0.25     18.9   15508.    8819.                                                  
  346864.   32864.     13.4   15000.    1000.     151.   26054.    487.2     0.41     63.3     108.      16.    6492.    204.0     0.00      2.7   40000.    0.845     751.      93.   15018.    220.3     0.00     27.0     141.      24.    1017.      3.8     0.30     22.4    9312.    4261.         
  368701.   54701.     22.3   15000.    2000.     275.   47244.    817.3     0.41     98.5     121.      18.    7156.    224.6     0.00      3.0   40000.    0.845    1737.     215.   35540.    529.8     0.00     61.9     142.      24.    1021.      3.8     0.30     22.4    9959.    4476.         
  391747.   77747.     31.7   15000.    3000.     397.   69604.   1185.0     0.39    131.5     140.      20.    7993.    255.8     0.00      3.5   40000.    0.845    2724.     337.   57091.    866.3     0.00     95.9     136.      22.     991.      3.7     0.28     20.9   10646.    4734.         
  415987.  101987.     41.5   15000.    4000.     521.   93125.   1580.0     0.39    164.5     159.      22.    8923.    284.2     0.00      3.9   40000.    0.845    3704.     458.   79675.   1232.9     0.00    128.3     138.      22.     999.      3.8     0.28     21.0   11364.    5008.         
  441761.  127761.     52.0   15000.    5000.     645.  118135.   2010.2     0.38    196.8     148.      21.    8933.    293.0     0.00      3.9   38000.    0.845    4722.     585.  104706.   1654.4     0.00    161.8     130.      21.     969.      3.7     0.27     19.9   12129.    5509.         
